"['west', 0.2, 2.5, 'X', 1000.0, 15.0, 'X', 'X', 'X']"
time,score,WD,WS,pressure,temperature,RH
2018/1/28 17:00,0.7837837837837838,west,1.4,961.2,20.0,97
2018/2/25 14:00,0.7837837837837838,west,2.5,964.5,24.2,63
2018/4/11 03:00,0.7837837837837838,west,0.3,963.9,16.7,99
2018/4/14 16:00,0.7837837837837838,west,1.1,960.2,27.7,77
2018/4/26 14:00,0.7837837837837838,west,1.6,961.9,27.0,68
2018/5/23 12:00,0.7837837837837838,west,1.9,960.6,31.5,53
2018/5/23 19:00,0.7837837837837838,west,1.3,960.2,27.6,85
2018/5/23 20:00,0.7837837837837838,west,0.4,960.6,27.5,83
2018/5/23 21:00,0.7837837837837838,west,0.6,960.9,26.7,89
2018/6/4 00:00,0.7837837837837838,west,0.5,960.1,25.6,97
2018/6/12 16:00,0.7837837837837838,west,2.2,952.2,29.8,66
2018/6/13 22:00,0.7837837837837838,west,0.6,950.5,25.8,89
2018/6/14 02:00,0.7837837837837838,west,0.8,949.1,24.0,99
2018/6/14 09:00,0.7837837837837838,west,0.4,948.5,28.7,69
2018/6/14 11:00,0.7837837837837838,west,2.1,947.8,30.1,66
2018/6/14 12:00,0.7837837837837838,west,2.0,947.3,30.8,62
2018/8/11 11:00,0.7837837837837838,west,2.5,952.7,31.0,59
2018/10/10 12:00,0.7837837837837838,west,2.4,962.2,28.0,61
2018/10/30 16:00,0.7837837837837838,west,1.7,960.1,28.4,42
2018/1/5 03:00,0.7567567567567568,west,0.6,964.3,15.7,99
2018/1/11 21:00,0.7567567567567568,west,0.7,972.6,9.7,96
2018/1/23 16:00,0.7567567567567568,west,2.1,961.3,24.4,47
2018/1/31 03:00,0.7567567567567568,west,0.9,967.2,13.9,99
2018/2/2 13:00,0.7567567567567568,west,2.2,968.0,14.9,90
2018/2/3 21:00,0.7567567567567568,west,1.0,969.8,9.2,99
2018/2/7 07:00,0.7567567567567568,west,0.4,967.0,10.2,99
2018/2/11 21:00,0.7567567567567568,west,0.6,969.9,14.2,99
2018/2/11 22:00,0.7567567567567568,west,0.5,970.6,13.8,99
2018/2/12 01:00,0.7567567567567568,west,1.4,971.7,12.8,99
2018/2/12 02:00,0.7567567567567568,west,1.0,971.7,12.7,99
2018/2/12 03:00,0.7567567567567568,west,1.6,971.5,12.2,99
2018/2/12 11:00,0.7567567567567568,west,0.5,973.1,15.8,86
2018/2/12 18:00,0.7567567567567568,west,1.4,970.3,15.5,80
2018/2/12 19:00,0.7567567567567568,west,1.6,971.0,14.7,81
2018/2/13 00:00,0.7567567567567568,west,1.0,972.0,13.5,88
2018/2/13 12:00,0.7567567567567568,west,1.6,970.6,20.0,55
2018/2/13 13:00,0.7567567567567568,west,1.3,969.3,20.5,55
2018/2/19 05:00,0.7567567567567568,west,0.4,967.4,13.6,99
2018/2/21 12:00,0.7567567567567568,west,2.4,963.0,23.6,64
2018/2/21 18:00,0.7567567567567568,west,2.0,961.7,21.8,71
2018/2/22 12:00,0.7567567567567568,west,0.5,963.8,20.1,91
2018/2/24 17:00,0.7567567567567568,west,1.6,966.1,22.8,69
2018/2/25 00:00,0.7567567567567568,west,0.3,967.8,17.8,99
2018/2/25 15:00,0.7567567567567568,west,1.9,964.5,23.6,67
2018/2/25 22:00,0.7567567567567568,west,0.6,967.1,18.0,99
2018/3/1 00:00,0.7567567567567568,west,0.5,963.2,16.6,99
2018/3/2 17:00,0.7567567567567568,west,2.0,960.0,25.3,67
2018/3/4 12:00,0.7567567567567568,west,1.1,962.4,27.0,60
2018/3/6 23:00,0.7567567567567568,west,0.7,966.8,20.0,94
2018/3/7 10:00,0.7567567567567568,west,1.7,966.4,21.3,84
2018/3/7 11:00,0.7567567567567568,west,1.3,966.5,21.2,83
2018/3/7 19:00,0.7567567567567568,west,1.5,963.6,20.9,88
2018/3/7 21:00,0.7567567567567568,west,0.8,965.1,19.8,92
2018/3/7 22:00,0.7567567567567568,west,0.6,965.3,19.6,95
2018/3/7 23:00,0.7567567567567568,west,1.3,965.0,19.3,99
2018/3/8 01:00,0.7567567567567568,west,1.0,964.0,18.8,99
2018/3/10 23:00,0.7567567567567568,west,0.6,970.1,11.8,99
2018/3/11 00:00,0.7567567567567568,west,0.4,970.3,11.4,99
2018/3/13 21:00,0.7567567567567568,west,0.5,966.9,16.3,76
2018/3/14 17:00,0.7567567567567568,west,1.5,963.5,22.4,57
2018/3/16 17:00,0.7567567567567568,west,2.4,962.8,23.6,75
2018/3/17 11:00,0.7567567567567568,west,1.7,966.8,25.2,58
2018/3/17 15:00,0.7567567567567568,west,2.0,964.3,25.6,59
2018/3/19 11:00,0.7567567567567568,west,0.5,962.2,24.8,51
2018/3/19 19:00,0.7567567567567568,west,1.7,960.9,23.0,79
2018/3/25 14:00,0.7567567567567568,west,1.9,967.3,24.4,38
2018/3/26 12:00,0.7567567567567568,west,1.5,967.4,24.1,47
2018/3/27 16:00,0.7567567567567568,west,2.3,962.6,24.2,63
2018/3/27 18:00,0.7567567567567568,west,1.5,963.1,22.6,65
2018/3/28 20:00,0.7567567567567568,west,0.3,963.1,21.7,78
2018/3/28 22:00,0.7567567567567568,west,0.4,964.0,20.1,91
2018/3/29 02:00,0.7567567567567568,west,0.4,963.2,18.9,99
2018/3/31 11:00,0.7567567567567568,west,1.0,963.7,25.7,51
2018/3/31 19:00,0.7567567567567568,west,1.4,961.9,22.7,73
2018/4/1 12:00,0.7567567567567568,west,0.6,963.7,24.5,58
2018/4/2 12:00,0.7567567567567568,west,2.1,963.3,26.1,55
2018/4/2 17:00,0.7567567567567568,west,2.3,962.0,23.9,68
2018/4/3 07:00,0.7567567567567568,west,1.0,964.3,18.6,99
2018/4/3 11:00,0.7567567567567568,west,2.0,964.8,24.1,65
2018/4/3 18:00,0.7567567567567568,west,1.4,963.1,23.1,78
2018/4/3 19:00,0.7567567567567568,west,0.6,963.3,22.6,81
2018/4/4 18:00,0.7567567567567568,west,1.3,961.8,24.0,69
2018/4/5 17:00,0.7567567567567568,west,2.2,960.6,24.1,76
2018/4/6 11:00,0.7567567567567568,west,1.2,963.8,26.4,58
2018/4/9 17:00,0.7567567567567568,west,2.1,965.0,22.5,55
2018/4/9 20:00,0.7567567567567568,west,0.4,966.3,19.2,75
2018/4/18 17:00,0.7567567567567568,west,1.9,962.9,24.3,69
2018/4/20 14:00,0.7567567567567568,west,1.9,964.0,26.9,55
2018/4/20 19:00,0.7567567567567568,west,0.4,963.2,23.1,80
2018/4/22 12:00,0.7567567567567568,west,1.7,961.9,27.6,60
2018/4/22 13:00,0.7567567567567568,west,2.0,961.0,29.7,55
2018/4/22 16:00,0.7567567567567568,west,2.1,960.0,28.6,64
2018/4/22 18:00,0.7567567567567568,west,2.2,960.6,25.9,73
2018/4/23 11:00,0.7567567567567568,west,1.1,960.2,29.7,50
2018/4/27 11:00,0.7567567567567568,west,1.7,965.4,26.2,72
2018/4/30 10:00,0.7567567567567568,west,1.4,964.9,26.8,70
2018/4/30 13:00,0.7567567567567568,west,2.3,963.6,29.4,60
2018/5/1 13:00,0.7567567567567568,west,2.1,963.3,29.3,60
2018/5/3 12:00,0.7567567567567568,west,2.2,964.0,29.6,66
2018/5/3 13:00,0.7567567567567568,west,2.2,963.3,29.9,60
2018/5/5 17:00,0.7567567567567568,west,1.9,964.3,27.8,66
2018/5/8 05:00,0.7567567567567568,west,1.6,961.0,20.5,99
2018/5/14 16:00,0.7567567567567568,west,2.1,959.3,29.4,67
2018/5/16 15:00,0.7567567567567568,west,1.8,959.4,31.7,60
2018/5/20 11:00,0.7567567567567568,west,1.8,960.9,30.7,61
2018/5/22 15:00,0.7567567567567568,west,1.9,959.5,32.1,55
2018/5/22 18:00,0.7567567567567568,west,1.7,959.7,28.7,69
2018/5/22 19:00,0.7567567567567568,west,1.2,960.2,27.8,71
2018/5/24 06:00,0.7567567567567568,west,0.4,961.0,24.0,99
2018/5/24 18:00,0.7567567567567568,west,1.9,959.7,28.1,65
2018/5/25 13:00,0.7567567567567568,west,1.8,958.3,31.0,56
2018/5/30 04:00,0.7567567567567568,west,0.3,961.6,23.8,99
2018/5/30 05:00,0.7567567567567568,west,0.4,962.1,23.5,99
2018/5/30 09:00,0.7567567567567568,west,0.8,962.4,29.1,69
2018/5/30 10:00,0.7567567567567568,west,0.8,961.8,30.6,65
2018/6/2 16:00,0.7567567567567568,west,2.0,958.5,31.6,55
2018/6/3 22:00,0.7567567567567568,west,0.3,960.0,26.9,87
2018/6/3 23:00,0.7567567567567568,west,0.4,960.3,26.2,92
2018/6/9 15:00,0.7567567567567568,west,2.5,949.5,32.7,59
2018/6/9 16:00,0.7567567567567568,west,2.2,949.3,33.1,57
2018/6/14 08:00,0.7567567567567568,west,0.7,948.8,26.6,84
2018/7/27 11:00,0.7567567567567568,west,2.4,958.4,29.4,74
2018/7/28 20:00,0.7567567567567568,west,1.6,956.9,26.6,98
2018/8/7 19:00,0.7567567567567568,west,0.7,954.5,28.2,99
2018/8/8 19:00,0.7567567567567568,west,1.1,955.0,28.2,86
2018/8/9 13:00,0.7567567567567568,west,2.3,956.2,30.8,63
2018/8/9 16:00,0.7567567567567568,west,2.5,954.6,30.9,66
2018/8/9 18:00,0.7567567567567568,west,1.7,954.7,28.6,79
2018/8/10 04:00,0.7567567567567568,west,0.8,955.8,24.4,99
2018/8/10 14:00,0.7567567567567568,west,2.0,954.1,32.2,59
2018/8/10 18:00,0.7567567567567568,west,1.4,953.0,29.9,75
2018/8/11 12:00,0.7567567567567568,west,2.4,952.2,31.1,62
2018/8/11 13:00,0.7567567567567568,west,2.4,951.8,31.4,55
2018/9/22 11:00,0.7567567567567568,west,2.5,964.7,29.1,61
2018/9/30 08:00,0.7567567567567568,west,0.5,960.0,23.2,78
2018/9/30 15:00,0.7567567567567568,west,2.0,957.5,30.1,53
2018/9/30 17:00,0.7567567567567568,west,1.2,958.6,28.3,58
2018/9/30 18:00,0.7567567567567568,west,1.3,958.9,27.1,61
2018/9/30 22:00,0.7567567567567568,west,0.6,961.7,23.1,79
2018/9/30 23:00,0.7567567567567568,west,0.8,962.0,23.3,78
2018/10/1 00:00,0.7567567567567568,west,0.5,961.9,22.8,81
2018/10/1 01:00,0.7567567567567568,west,0.5,961.8,22.9,81
2018/10/1 02:00,0.7567567567567568,west,0.4,961.8,22.5,84
2018/10/1 03:00,0.7567567567567568,west,0.6,961.7,22.3,84
2018/10/1 15:00,0.7567567567567568,west,2.3,960.6,29.3,54
2018/10/1 22:00,0.7567567567567568,west,0.3,963.9,21.5,78
2018/10/2 04:00,0.7567567567567568,west,0.5,962.9,19.5,89
